recall,precision
1.0,0.4095238095238095
1.0,0.41148325358851673
1.0,0.41346153846153844
1.0,0.41545893719806765
1.0,0.4174757281553398
1.0,0.4195121951219512
1.0,0.4215686274509804
1.0,0.4236453201970443
1.0,0.42574257425742573
1.0,0.42786069651741293
1.0,0.43
1.0,0.4321608040201005
1.0,0.43434343434343436
1.0,0.4365482233502538
1.0,0.4387755102040816
1.0,0.441025641025641
1.0,0.44329896907216493
1.0,0.44559585492227977
1.0,0.4479166666666667
1.0,0.450261780104712
1.0,0.45263157894736844
1.0,0.455026455026455
1.0,0.4574468085106383
1.0,0.45989304812834225
1.0,0.46236559139784944
1.0,0.4648648648648649
1.0,0.4673913043478261
1.0,0.46994535519125685
1.0,0.4725274725274725
1.0,0.47513812154696133
1.0,0.4777777777777778
1.0,0.48044692737430167
1.0,0.48314606741573035
1.0,0.4858757062146893
1.0,0.48863636363636365
1.0,0.49142857142857144
1.0,0.4942528735632184
1.0,0.49710982658959535
1.0,0.5
1.0,0.5029239766081871
1.0,0.5058823529411764
1.0,0.5088757396449705
1.0,0.5119047619047619
1.0,0.5149700598802395
1.0,0.5180722891566265
1.0,0.5212121212121212
1.0,0.524390243902439
1.0,0.5276073619631901
1.0,0.5308641975308642
1.0,0.5341614906832298
1.0,0.5375
1.0,0.5408805031446541
1.0,0.5443037974683544
1.0,0.5477707006369427
1.0,0.5512820512820513
1.0,0.5548387096774193
1.0,0.5584415584415584
1.0,0.5620915032679739
1.0,0.5657894736842105
1.0,0.5695364238410596
1.0,0.5733333333333334
1.0,0.5771812080536913
1.0,0.581081081081081
1.0,0.5850340136054422
1.0,0.589041095890411
1.0,0.593103448275862
1.0,0.5972222222222222
1.0,0.6013986013986014
1.0,0.6056338028169014
1.0,0.6099290780141844
1.0,0.6142857142857143
1.0,0.6187050359712231
1.0,0.6231884057971014
1.0,0.6277372262773723
1.0,0.6323529411764706
1.0,0.6370370370370371
1.0,0.6417910447761194
1.0,0.6466165413533834
1.0,0.6515151515151515
1.0,0.6564885496183206
1.0,0.6615384615384615
1.0,0.6666666666666666
1.0,0.671875
1.0,0.6771653543307087
1.0,0.6825396825396826
1.0,0.688
1.0,0.6935483870967742
1.0,0.6991869918699187
1.0,0.7049180327868853
1.0,0.7107438016528925
1.0,0.7166666666666667
1.0,0.7226890756302521
1.0,0.7288135593220338
1.0,0.7350427350427351
1.0,0.7413793103448276
1.0,0.7478260869565218
1.0,0.7543859649122807
1.0,0.7610619469026548
1.0,0.7678571428571429
1.0,0.7747747747747747
1.0,0.7818181818181819
1.0,0.7889908256880734
1.0,0.7962962962962963
1.0,0.8037383177570093
1.0,0.8113207547169812
1.0,0.819047619047619
1.0,0.8269230769230769
1.0,0.8349514563106796
1.0,0.8431372549019608
1.0,0.8514851485148515
1.0,0.86
1.0,0.8686868686868687
1.0,0.8775510204081632
1.0,0.8865979381443299
1.0,0.8958333333333334
1.0,0.9052631578947369
1.0,0.9148936170212766
1.0,0.9247311827956989
1.0,0.9347826086956522
1.0,0.945054945054945
1.0,0.9555555555555556
1.0,0.9662921348314607
1.0,0.9772727272727273
1.0,0.9885057471264368
1.0,1.0
0.9883720930232558,1.0
0.9767441860465116,1.0
0.9651162790697675,1.0
0.9534883720930233,1.0
0.9418604651162791,1.0
0.9302325581395349,1.0
0.9186046511627907,1.0
0.9069767441860465,1.0
0.8953488372093024,1.0
0.8837209302325582,1.0
0.872093023255814,1.0
0.8604651162790697,1.0
0.8488372093023255,1.0
0.8372093023255814,1.0
0.8255813953488372,1.0
0.813953488372093,1.0
0.8023255813953488,1.0
0.7906976744186046,1.0
0.7790697674418605,1.0
0.7674418604651163,1.0
0.7558139534883721,1.0
0.7441860465116279,1.0
0.7325581395348837,1.0
0.7209302325581395,1.0
0.7093023255813954,1.0
0.6976744186046512,1.0
0.686046511627907,1.0
0.6744186046511628,1.0
0.6627906976744186,1.0
0.6511627906976745,1.0
0.6395348837209303,1.0
0.627906976744186,1.0
0.6162790697674418,1.0
0.6046511627906976,1.0
0.5930232558139535,1.0
0.5813953488372093,1.0
0.5697674418604651,1.0
0.5581395348837209,1.0
0.5465116279069767,1.0
0.5348837209302325,1.0
0.5232558139534884,1.0
0.5116279069767442,1.0
0.5,1.0
0.4883720930232558,1.0
0.47674418604651164,1.0
0.46511627906976744,1.0
0.45348837209302323,1.0
0.4418604651162791,1.0
0.43023255813953487,1.0
0.4186046511627907,1.0
0.4069767441860465,1.0
0.3953488372093023,1.0
0.38372093023255816,1.0
0.37209302325581395,1.0
0.36046511627906974,1.0
0.3488372093023256,1.0
0.3372093023255814,1.0
0.32558139534883723,1.0
0.313953488372093,1.0
0.3023255813953488,1.0
0.29069767441860467,1.0
0.27906976744186046,1.0
0.26744186046511625,1.0
0.2558139534883721,1.0
0.2441860465116279,1.0
0.23255813953488372,1.0
0.22093023255813954,1.0
0.20930232558139536,1.0
0.18604651162790697,1.0
0.1744186046511628,1.0
0.16279069767441862,1.0
0.1511627906976744,1.0
0.13953488372093023,1.0
0.12790697674418605,1.0
0.11627906976744186,1.0
0.10465116279069768,1.0
0.09302325581395349,1.0
0.06976744186046512,1.0
0.05813953488372093,1.0
0.046511627906976744,1.0
0.03488372093023256,1.0
0.023255813953488372,1.0
0.011627906976744186,1.0
0.0,1.0
